Brand,Model Name,Date,Mileage,Warranty,Image URL
SKODA,Enyaq iV 60,2024,1 000 km,Garantie 24 MOIS,N/A
AUDI,e-tron S Sportback 503 ch e-quattro Sport,2024,10 000 km,Garantie 47 mois,N/A
MERCEDES,EQE SUV 350 4MATIC,2024,5 000 km,Garantie 24 MOIS,N/A
RENAULT,KANGOO Z.E. 33,2018,6 320 km,Garantie 12 mois,N/A
VOLKSWAGEN,ID.3 204 ch Pro Performance,2020,39 414 km,Garantie 12 mois,N/A
RENAULT,Zoe R110,2020,49 789 km,Garantie 6 mois,N/A
DACIA,Spring,2023,4 429 km,Garantie 23 mois,https://feassets.bymycar.fr/vo/13/268851/0/dacia-spring-occasion-2023-epinal.jpg
ABARTH,500C e 155 ch,2024,9 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/9/268850/0/abarth-500c-e-155-ch-occasion-2024-albertville.jpg
PEUGEOT,EXPERT FGN M ELECTRIQUE 100KWH 136CH BATTERIE 75 KWH,2024,50 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/6/268849/0/peugeot-expert-fgn-m-electrique-100kwh-136ch-batterie-75-kwh-occasion-2024-cluses.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,6 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/126/268845/0/audi-q4-e-tron-sportback-45-285-ch-82-kwh-occasion-2024-villefranche-sur-saone.jpg
TESLA,MODEL 3 Autonomie Standard Plus RWD,2022,29 720 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/117/268842/0/tesla-model-3-autonomie-standard-plus-rwd-occasion-2022-roquebrune-sur-argens.jpg
FIAT,500 e 118 ch,2022,32 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268803/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
MERCEDES,EQS 450+,2024,1 800 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/117/268756/0/mercedes-eqs-450+-occasion-2024-roquebrune-sur-argens.jpg
NISSAN,Leaf Electrique 40kWh,2024,1 000 km,Garantie 35 mois,https://feassets.bymycar.fr/vo/108/268752/0/nissan-leaf-electrique-40kwh-occasion-2024-le-cannet.jpg
NISSAN,TOWNSTAR EV FOURGON L1 ELECTRIQUE 45KWH,2024,500 km,Garantie 35 mois,https://feassets.bymycar.fr/vo/108/268751/0/nissan-townstar-ev-fourgon-l1-electrique-45kwh-occasion-2024-le-cannet.jpg
SKODA,Enyaq iV 50,2024,7 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/89/268733/0/skoda-enyaq-iv-50-occasion-2024-bourgoin-jallieu.jpg
FIAT,500 e 118 ch,2022,14 060 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268693/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
FIAT,500 e 118 ch,Icône Plus '2021',18 440 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268690/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
FIAT,500 e 118 ch,2022,19 750 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268688/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
MINI,Hatch 3 Portes Cooper SE 184 ch,2021,49 148 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/35/268683/0/mini-hatch-3-portes-cooper-se-184-ch-occasion-2021-saint-thibault-des-vignes.jpg
MINI,Countryman 204 ch BVA E,2024,8 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/27/268674/0/mini-countryman-204-ch-bva-e-occasion-2024-noisy-le-sec.jpg
VOLKSWAGEN,ID.3 145 ch Pro,2021,34 756 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/268642/0/volkswagen-id3-145-ch-pro-occasion-2021-la-garde.jpg
VOLKSWAGEN,ID.3 145 ch Pro,2021,47 753 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/268641/0/volkswagen-id3-145-ch-pro-occasion-2021-la-garde.jpg
VOLKSWAGEN,ID.3 145 ch Pro,2021,58 869 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/268640/0/volkswagen-id3-145-ch-pro-occasion-2021-la-garde.jpg
VOLKSWAGEN,ID.3 145 ch Pro,2021,77 420 km,Garantie 12 mois,N/A
SKODA,Enyaq iV 80,2023,2 231 km,Garantie 48 mois,N/A
NISSAN,Ariya Electrique 87kWh 242 ch,2024,5 900 km,Garantie 35 mois,N/A
RENAULT,Twingo III Achat Intégral - 21,2021,31 814 km,Garantie 12 mois,N/A
SKODA,Enyaq iV 60,2021,27 676 km,Garantie 12 mois,N/A
FIAT,500 3+1 e 118 ch,2022,18 458 km,Garantie 12 mois,N/A
SMART,Fortwo Coupé 82 ch Electrique BA1,2021,24 980 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268584/0/smart-fortwo-coupe-82-ch-electrique-ba1-occasion-2021-fontaine.jpg
FIAT,500 e 95 ch,2022,25 150 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268580/0/fiat-500-e-95-ch-occasion-2022-fontaine.jpg
FIAT,500 e 118 ch,2022,27 710 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268578/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
FIAT,500 e 118 ch,2022,4 300 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/268574/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2023,2 000 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/7/268538/0/peugeot-208-electrique-50-kwh-136ch-occasion-2023-annemasse.jpg
SMART,Smart #1 272 ch,2024,4 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/78/268508/0/smart-smart--1-272-ch-occasion-2024-le-cannet.jpg
SMART,Smart #1 272 ch,2023,5 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/75/268507/0/smart-smart--1-272-ch-occasion-2023-villeneuve-loubet.jpg
SKODA,Enyaq iV 60,2021,30 096 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/102/268451/0/skoda-enyaq-iv-60-occasion-2021-orleans.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,0 km,N/A,https://feassets.bymycar.fr/vo/91/268442/0/volkswagen-id3-204-ch-pro-occasion-2024-saint-romain-en-gal.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,1 000 km,Garantie 47 mois,https://feassets.bymycar.fr/vo/70/268429/0/volkswagen-id3-204-ch-pro-occasion-2024-villefranche-sur-saone.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,1 000 km,Garantie 47 mois,https://feassets.bymycar.fr/vo/70/268427/0/volkswagen-id3-204-ch-pro-occasion-2024-villefranche-sur-saone.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,1 000 km,Garantie 47 mois,https://feassets.bymycar.fr/vo/70/268425/0/volkswagen-id3-204-ch-pro-occasion-2024-villefranche-sur-saone.jpg
BMW,iX2 eDrive20 204ch BVA,2024,8 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/27/268340/0/bmw-ix2-edrive20-204ch-bva-occasion-2024-noisy-le-sec.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,0 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/16/268319/0/volkswagen-id3-204-ch-pro-occasion-2024-ladoix-serrigny.jpg
AUDI,Q4 e-tron Sportback 40 204 ch 82 kW,2021,40 549 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/12/268312/0/audi-q4-e-tron-sportback-40-204-ch-82-kw-occasion-2021-avignon.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2020,55 772 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/268307/0/peugeot-208-electrique-50-kwh-136ch-occasion-2020-annemasse.jpg
